00065|Народы всех стран имеют право выбирать собственную судьбу и определять собственное будущее.|Народы всех стран имеют право выбирать собственную судьбу и определять собственное будущее.
00066|Существует широкое согласие в отношении необходимости расширения Совета при сохранении его эффективности.|Существует широкое согласие в отношении необходимости расширения Совета при сохранении его эффективности.
00067|Ярким примером тому является, несомненно, Конвенция по кассетным боеприпасам.|Ярким примером тому является, несомненно, Конвенция по кассетным боеприпасам.
00068|Он думал, шифром надежнее.|Он думал, шифром надежнее.
00069|Я также поздравляю членов Бюро.|Я также поздравляю членов Бюро.
00070|Необходимо как можно скорее возродить деятельность Международного комитета по развитию Лумбини.|Необходимо как можно скорее возродить деятельность Международного комитета по развитию Лумбини.
00071|Благодарю Вас, господин министр, за ваше обращение к настоящей Конференции.|Благодарю Вас, господин министр, за ваше обращение к настоящей Конференции.
00072|В этих усилиях нуждается мир, в котором мы сегодня живем.|В этих усилиях нуждается мир, в котором мы сегодня живем.
00073|Эта политика противоречит нормам международного гуманитарного права и резолюциям Организации Объединенных Наций.|Эта политика противоречит нормам международного гуманитарного права и резолюциям Организации Объединенных Наций.
00074|Поэтому Перу считает чрезвычайно важным, чтобы все государства признали юрисдикцию Суда.|Поэтому Перу считает чрезвычайно важным, чтобы все государства признали юрисдикцию Суда.
00075|Сирия представляет собой новую ситуацию, которая требует от всех нас совместных усилий.|Сирия представляет собой новую ситуацию, которая требует от всех нас совместных усилий.
00076|Важно, чтобы они и дальше выступали плечом к плечу для построения демократического общества.|Важно, чтобы они и дальше выступали плечом к плечу для построения демократического общества.
00077|Сейчас, когда я выступаю, регион переживает самую тяжелую засуху в жизни целого поколения.|Сейчас, когда я выступаю, регион переживает самую тяжелую засуху в жизни целого поколения.
00078|Поэтому постепенная ликвидация права вето является идеальным вариантом почти для всех делегаций.|Поэтому постепенная ликвидация права вето является идеальным вариантом почти для всех делегаций.
00079|Мы, в частности, постарались удовлетворить следующие пожелания.|Мы, в частности, постарались удовлетворить следующие пожелания.
00080|То, как ползала эта девочка, тоже очень понравилось ей.|То, как ползала эта девочка, тоже очень понравилось ей.
00081|Сзади её стоял мрачный здоровенный работник Немец, катавший её.|Сзади её стоял мрачный здоровенный работник Немец, катавший её.
00082|Нет, теперь я уже не поддамся на это!|Нет, теперь я уже не поддамся на это!
00083|Однако эту опасность следует рассматривать в перспективе.|Однако эту опасность следует рассматривать в перспективе.
00084|Исполняющий обязанности Председателя: Сейчас Ассамблея заслушает выступление премьер-министра Государства Израиль.|Исполняющий обязанности Председателя: Сейчас Ассамблея заслушает выступление премьер-министра Государства Израиль.
00085|Доверие является самой сутью и основой Договора о нераспространении ядерного оружия.|Доверие является самой сутью и основой Договора о нераспространении ядерного оружия.
00086|Скажи, что я перезвоню.|Скажи, что я перезвоню.
00087|Кубра на кубру щи варила, пришедши букара, да выхлебала.|Кубра на кубру щи варила, пришедши букара, да выхлебала.
00088|Здесь прекращаются записки Петра Андреевича Гринева.|Здесь прекращаются записки Петра Андреевича Гринева.
00089|Это означает создание необходимых для процветания людей и общин условий в области безопасности.|Это означает создание необходимых для процветания людей и общин условий в области безопасности.
00090|Она имеет серьезнейшие разрушительные последствия для людей, семей и целых общин по всему миру.|Она имеет серьезнейшие разрушительные последствия для людей, семей и целых общин по всему миру.
00091|Мы не являемся ни крупными импортерами, ни производителями стрелкового оружия и легких вооружений.|Мы не являемся ни крупными импортерами, ни производителями стрелкового оружия и легких вооружений.
00092|Перечень обсуждаемого оборудования, которое должно быть охвачено рамками договора, представляется достаточно широким и функциональным.|Перечень обсуждаемого оборудования, которое должно быть охвачено рамками договора, представляется достаточно широким и функциональным.
00093|Конференция лишь выиграет от его назначения Председателем.|Конференция лишь выиграет от его назначения Председателем.
00094|Общеизвестно, что параллельное мероприятие представляет собой параллельную деятельность, не связанную с Конференцией.|Общеизвестно, что параллельное мероприятие представляет собой параллельную деятельность, не связанную с Конференцией.
00095|Значит, договор подпишут сегодня?|Значит, договор подпишут сегодня?
00096|Малайзия придает огромную важность борьбе за сердца и умы афганцев.|Малайзия придает огромную важность борьбе за сердца и умы афганцев.
00097|Это замедляет темпы развития и даже обращает его вспять.|Это замедляет темпы развития и даже обращает его вспять.
00098|Каждый объект системы обладает своим собственным поведением|Каждый объект системы обладает своим собственным поведением
00099|Именно поэтому мы, в Афганистане, внимательно следим за положением на Ближнем Востоке.|Именно поэтому мы, в Афганистане, внимательно следим за положением на Ближнем Востоке.
00100|– Это не я. Но это, наверное, кто-нибудь из наших.|– Это не я. Но это, наверное, кто-нибудь из наших.
00101|– Мы точно с ним увиделись, но в каких обстоятельствах!..|– Мы точно с ним увиделись, но в каких обстоятельствах!..
00102|Они обратились сюда, в многосторонний орган.|Они обратились сюда, в многосторонний орган.
00103|Достоинство палестинцев ущемляется на ежедневной основе.|Достоинство палестинцев ущемляется на ежедневной основе.
00104|Южная Африка призывает вкладывать больше средств в сельское хозяйство и инфраструктуру континента.|Южная Африка призывает вкладывать больше средств в сельское хозяйство и инфраструктуру континента.
00105|Нормативы|Нормативы
00106|"""Чего не узнает?"|"""Чего не узнает?"
00107|Я не могу вам отказать, хотя мы и решили пока его отложить.|Я не могу вам отказать, хотя мы и решили пока его отложить.
00108|Любил очень лежать и курить люльку.|Любил очень лежать и курить люльку.
00109|В этом году обнародован закон, предоставляющий право голоса камерунцам, проживающим за границей.|В этом году обнародован закон, предоставляющий право голоса камерунцам, проживающим за границей.
00110|– Теперь скажи, в каком состоянии ваш город.|– Теперь скажи, в каком состоянии ваш город.
00111|Кони мотали мордами, жевали сено.|Кони мотали мордами, жевали сено.
00112|Индия придает важнейшее значение Суду как главному судебному органу Организации Объединенных Наций.|Индия придает важнейшее значение Суду как главному судебному органу Организации Объединенных Наций.
00113|Следовательно, рассмотрение ежегодного доклада - это один из наиболее важных элементов этих взаимоотношений.|Следовательно, рассмотрение ежегодного доклада - это один из наиболее важных элементов этих взаимоотношений.
00114|Мы призываем Агентство продолжать работу по разработке ториевого топливного цикла.|Мы призываем Агентство продолжать работу по разработке ториевого топливного цикла.
00115|Необходимо обобщать ее опыт и извлеченные уроки, а также изучать передовую практику.|Необходимо обобщать ее опыт и извлеченные уроки, а также изучать передовую практику.
00116|Варенька и в счастливом благоустроенном доме Левиных сумела быть полезною.|Варенька и в счастливом благоустроенном доме Левиных сумела быть полезною.
00117|Затем ультиматум через аккредитованного посла вручается правителю враждебной державы.|Затем ультиматум через аккредитованного посла вручается правителю враждебной державы.
00118|Но это сновидение, как кошмар, давило ее, и она просыпалась с ужасом.|Но это сновидение, как кошмар, давило ее, и она просыпалась с ужасом.
00119|В подтверждение сказанного я привел лишь несколько примеров.|В подтверждение сказанного я привел лишь несколько примеров.
00120|Нам также нужно серьезно относиться к проблеме ядерного терроризма.|Нам также нужно серьезно относиться к проблеме ядерного терроризма.
00121|Болгария также с глубоким удовлетворением отмечает проведение совещания высокого уровня по ядерной безопасности.|Болгария также с глубоким удовлетворением отмечает проведение совещания высокого уровня по ядерной безопасности.
00122|Они что, зря погибли?|Они что, зря погибли?
00123|Взаимодействие с монитором, мышью, клавиатурой и прочим|Взаимодействие с монитором, мышью, клавиатурой и прочим
00124|Девочки, давайте лучше в круг!..|Девочки, давайте лучше в круг!..
00125|Тем не менее я ценю ваше заявление.|Тем не менее я ценю ваше заявление.
00126|Договор о торговле оружием также будет способствовать укреплению доверия в области обычных вооружений.|Договор о торговле оружием также будет способствовать укреплению доверия в области обычных вооружений.
00127|Понятно, что Конференция по разоружению переживает глубокий кризис.|Понятно, что Конференция по разоружению переживает глубокий кризис.
00128|Наездники, рассеясь, тотчас ускакали из виду, и степь опустела.|Наездники, рассеясь, тотчас ускакали из виду, и степь опустела.
00129|Само его применение станет грубейшим попранием международных норм, касающихся недопущения геноцида.|Само его применение станет грубейшим попранием международных норм, касающихся недопущения геноцида.
00130|Нельзя принижать вклад лидеров индустрии, которые сделали лекарства более дешевыми и доступными.|Нельзя принижать вклад лидеров индустрии, которые сделали лекарства более дешевыми и доступными.
00131|Это отрадный признак.|Это отрадный признак.
00132|Мы по-прежнему не видим веских причин для дальнейшей оттяжки начала этих переговоров.|Мы по-прежнему не видим веских причин для дальнейшей оттяжки начала этих переговоров.
00133|Со времени своего создания Суд имеет дело с широким кругом сложных правовых вопросов.|Со времени своего создания Суд имеет дело с широким кругом сложных правовых вопросов.
00134|Я надеюсь, что мы не тратим время впустую, пытаясь выработать программу работы.|Я надеюсь, что мы не тратим время впустую, пытаясь выработать программу работы.
00135|В связи с этим Турция поддержала эту резолюцию.|В связи с этим Турция поддержала эту резолюцию.
00136|Эти перемены были связаны с ускорением изменений, вызванных различными факторами.|Эти перемены были связаны с ускорением изменений, вызванных различными факторами.
00137|Левин слушал неохотно и сначала возражал.|Левин слушал неохотно и сначала возражал.
00138|Но стон не утихал.|Но стон не утихал.
00139|Шли из мест таких, которых нету глуше, - прадеды, прапрадеды и пра пра пра!..|Шли из мест таких, которых нету глуше, - прадеды, прапрадеды и пра пра пра!..
00140|Она вчера очень устала.|Она вчера очень устала.
00141|Вот он идет по коридору на кухню.|Вот он идет по коридору на кухню.
00142|болезнь|болезнь
00143|Вы разве не замечали?|Вы разве не замечали?
00144|Всё нормально|Всё нормально
00145|И вот теперь на моей щеке горит, как раньше говорили, несмываемый позор.|И вот теперь на моей щеке горит, как раньше говорили, несмываемый позор.
00146|О! что я испытывал в этот момент!|О! что я испытывал в этот момент!
00147|Почему это место называется престол, неизвестно.|Почему это место называется престол, неизвестно.
00148|Не мешай мне, доброму молодцу, думу думати.|Не мешай мне, доброму молодцу, думу думати.
00149|Оторвалась отовсюду!|Оторвалась отовсюду!
00150|Губы его были строго сжаты, и глаза не смотрели на нее.|Губы его были строго сжаты, и глаза не смотрели на нее.
00151|Месяц|Месяц
00152|Левин у Долли в деревне.|Левин у Долли в деревне.
00153|Он молодил его.|Он молодил его.
00154|Все замолчали.|Все замолчали.
00155|Беды большой нет.|Беды большой нет.
00156|Но лоб его не разгладился.|Но лоб его не разгладился.
00157|давно|давно
00158|Если я что-нибудь говорю, значит, это правильно.|Если я что-нибудь говорю, значит, это правильно.
00159|Сено же будет!|Сено же будет!
00160|Всё умное так надоело...|Всё умное так надоело...
00161|У него не было даже рук и ног.|У него не было даже рук и ног.
00162|И почему-то всем стало неловко.|И почему-то всем стало неловко.
00163|Мне отмщение, и Аз воздам.|Мне отмщение, и Аз воздам.
00164|Ты любишь меня?|Ты любишь меня?
00165|В особенности он чувствовал непрочность и неестественность своих отношений с женою.|В особенности он чувствовал непрочность и неестественность своих отношений с женою.
00166|Ну как же ты не дик?|Ну как же ты не дик?
00167|– Это ты укрыл меня ночью простынею?|– Это ты укрыл меня ночью простынею?
00168|Пустые, глупые слова!|Пустые, глупые слова!
00169|Входит его жена в одной рубашке и с зонтом.|Входит его жена в одной рубашке и с зонтом.
00170|Где вы работаете?|Где вы работаете?
00171|О важном?|О важном?
00172|достаточно|достаточно
00173|Мелкие домашние заботы и хлопоты.|Мелкие домашние заботы и хлопоты.
00174|Это ошибка.|Это ошибка.
00175|Или поедем куда-нибудь.|Или поедем куда-нибудь.
00176|Какие будут плоды труда?|Какие будут плоды труда?
00177|Сердце его радостно сжалось.|Сердце его радостно сжалось.
00178|На следующий день, когда Ольга сидела на террасе, через калитку прошел командир.|На следующий день, когда Ольга сидела на террасе, через калитку прошел командир.
00179|- Перестаньте, - испуганно зашептал я.|- Перестаньте, - испуганно зашептал я.
00180|Как всё было хорошо!|Как всё было хорошо!
00181|Пришлось опять пойти в аптеку и заклеить пластырем щеку.|Пришлось опять пойти в аптеку и заклеить пластырем щеку.
00182|Поезд замедляет ход.|Поезд замедляет ход.
00183|Хорош, нечего сказать!|Хорош, нечего сказать!
00184|Левин у брата Сергея Ивановича Кознышева.|Левин у брата Сергея Ивановича Кознышева.
00185|Нет, свист не повторялся.|Нет, свист не повторялся.
00186|Из харчевни выглянул хозяин.|Из харчевни выглянул хозяин.
00187|Люди начинают возвращаться в небольших количествах.|Люди начинают возвращаться в небольших количествах.
00188|Мы считаем также, что интересы безопасности государств выходят за рамки узко определенных регионов.|Мы считаем также, что интересы безопасности государств выходят за рамки узко определенных регионов.
00189|Отправление правосудия в Организации Объединенных Наций.|Отправление правосудия в Организации Объединенных Наций.
00190|А между тем все пострадавшие имеют имя и семью.|А между тем все пострадавшие имеют имя и семью.
00191|Мы считаем, что такой кодекс внесет значительный вклад в осуществление Конвенции.|Мы считаем, что такой кодекс внесет значительный вклад в осуществление Конвенции.
00192|Я рассчитываю на лидерство и приверженность государств-членов в этом деле.|Я рассчитываю на лидерство и приверженность государств-членов в этом деле.
00193|Оно тем более несовместимо с целями и принципами Устава Организации Объединенных Наций.|Оно тем более несовместимо с целями и принципами Устава Организации Объединенных Наций.
00194|В первую очередь, она должна проделать собственную домашнюю работу по стабилизации экономики.|В первую очередь, она должна проделать собственную домашнюю работу по стабилизации экономики.
00195|Взаимоотношения между страновыми структурами и названными субъектами нуждаются в более четком прояснении и укреплении.|Взаимоотношения между страновыми структурами и названными субъектами нуждаются в более четком прояснении и укреплении.
00196|Поэтому Агентство должно призвать эти западные государства к ответу за эти нарушения.|Поэтому Агентство должно призвать эти западные государства к ответу за эти нарушения.
